"customer_id","customer_type","state","zip","zip3","customer_sqft","first_purch","last_purch","cases","dollars","cab_franc","cab_sauvignon","malbec","merlot","red_blend","syrah","buyer"
44,"bar","MD",20854,208,2551,95,27,10,7181,1,1,1,3,2,2,0
45,"restaurant","MD",21043,210,4568,93,25,10,7123,0,6,0,1,2,1,1
46,"restaurant","MD",20901,209,3707,93,31,10,7264,1,2,2,2,1,2,1
47,"restaurant","NJ",7701,77,2655,93,33,10,7150,1,1,1,2,4,1,0
48,"bar","MA",1801,18,2573,93,29,9,6562,1,0,5,1,2,0,0
49,"restaurant","MA",1876,18,2217,93,33,9,6556,1,1,0,5,2,0,0
50,"bar","MD",21014,210,3222,93,33,8,5862,2,0,2,0,1,3,0
51,"restaurant","NJ",7840,78,3315,93,31,7,5053,0,0,1,4,0,2,0
52,"restaurant","NY",11777,117,2516,93,33,10,7116,1,1,1,6,0,1,0
53,"bar","NH",3833,38,2207,93,33,9,6464,1,1,3,3,0,1,0
54,"bar","NJ",8043,80,2931,93,23,10,7266,1,1,2,3,2,1,0
55,"bar","PA",18017,180,1454,93,33,6,4278,1,2,1,2,0,0,0
56,"restaurant","CT",6807,68,3250,93,31,8,5710,0,1,1,2,1,3,0
57,"bar","MD",21122,211,3188,93,23,12,8615,4,1,2,3,1,1,0
58,"bar","NY",11372,113,2439,93,31,11,8077,1,4,2,2,1,1,0
59,"restaurant","MA",2170,21,2835,93,29,8,5810,3,1,0,2,1,1,0
60,"restaurant","ME",4009,40,3922,93,33,10,7281,0,0,0,5,3,2,0
61,"bar","MA",1020,10,3142,93,25,11,8015,2,3,4,2,0,0,0
62,"restaurant","MD",20853,208,4122,93,33,5,3651,0,0,1,1,1,2,0
63,"bar","MA",1701,17,2487,93,29,8,5832,0,2,0,6,0,0,0
64,"bar","NJ",7933,79,2637,91,27,9,6431,1,0,1,1,3,3,1
65,"bar","CT",6880,68,2988,91,23,11,7804,0,3,2,2,1,3,1
66,"restaurant","NJ",7712,77,3854,91,23,10,7116,0,6,0,2,1,1,1
67,"restaurant","NJ",7036,70,3360,91,29,8,5913,1,0,1,3,2,1,0
68,"restaurant","MA",2169,21,3127,91,33,7,5180,0,2,0,4,0,1,0
69,"bar","MD",21204,212,2693,91,31,6,4307,3,0,1,1,1,0,0
70,"restaurant","NJ",8005,80,3165,91,29,8,5791,1,2,1,3,0,1,0
71,"bar","NY",11379,113,3044,91,33,9,6366,1,2,1,4,1,0,0
72,"restaurant","PA",18969,189,2323,91,31,8,5740,2,1,1,3,1,0,0
73,"restaurant","NJ",7039,70,4023,91,29,4,2907,1,0,1,1,0,1,0
74,"restaurant","NY",13456,134,2846,91,33,12,8698,1,3,0,6,1,1,0
75,"bar","MD",21239,212,3348,91,35,11,7814,2,1,2,3,2,1,0
76,"bar","NJ",7302,73,4075,91,23,10,7122,1,2,2,3,2,0,0
77,"restaurant","PA",15214,152,2993,91,27,9,6494,1,4,0,3,1,0,0
78,"restaurant","NJ",7054,70,2612,91,33,8,5864,2,1,1,0,3,1,0
79,"bar","PA",18017,180,2763,91,29,11,7960,1,1,2,4,1,2,0
80,"restaurant","MD",20906,209,2857,91,33,6,4346,2,1,1,1,1,0,0
81,"restaurant","NJ",7003,70,3467,91,35,9,6430,0,3,1,3,1,1,0
82,"bar","PA",17562,175,3533,91,33,11,7777,1,3,1,4,1,1,0
83,"bar","MD",20905,209,2795,89,33,9,6501,1,2,2,3,1,0,0
84,"restaurant","NJ",7095,70,2702,89,29,8,5719,0,0,1,4,3,0,0
85,"bar","MD",21229,212,2692,89,31,8,5838,1,0,0,5,1,1,0
86,"bar","NY",11225,112,2278,89,23,10,7232,0,4,2,2,1,1,0
87,"bar","RI",2893,28,2160,89,29,9,6375,1,4,2,1,1,0,0
88,"bar","NY",11234,112,3363,89,31,7,5059,0,4,2,1,0,0,0
89,"bar","NJ",8861,88,2923,89,33,12,8407,2,0,2,3,3,2,0
90,"bar","NY",12572,125,4160,89,31,8,5781,2,3,2,1,0,0,0
91,"bar","NJ",7066,70,2102,89,35,12,8586,2,0,3,3,1,3,0
92,"bar","MA",2178,21,3288,89,25,11,7722,3,3,1,3,1,0,0
93,"restaurant","NY",10701,107,4032,89,19,12,8426,3,3,1,2,1,2,0
94,"restaurant","MA",2645,26,2414,89,33,6,4295,1,1,0,2,1,1,0
95,"restaurant","NY",10710,107,3203,89,23,8,5785,1,2,1,2,2,0,0
96,"bar","NY",11362,113,2926,89,27,10,7203,0,1,2,3,1,3,0
97,"bar","MA",2536,25,3378,89,27,7,5100,2,1,2,0,2,0,0
98,"bar","MD",21204,212,1988,89,25,6,4349,0,0,1,3,0,2,0
99,"bar","NH",3042,30,4158,89,35,7,5109,1,1,2,1,0,2,0
100,"restaurant","MD",21030,210,2791,89,27,6,4318,1,1,0,3,1,0,0
101,"bar","MD",21158,211,3149,89,29,7,5058,0,2,2,1,0,2,0
102,"bar","NY",10705,107,4350,89,25,9,6606,1,3,2,2,0,1,0
103,"bar","PA",15236,152,3392,89,31,10,7223,1,1,2,4,0,2,0
104,"bar","MD",20715,207,2259,89,33,9,6390,2,1,2,2,2,0,0
105,"restaurant","VA",20165,201,2764,87,23,10,7223,0,1,2,2,3,2,1
106,"bar","NY",10456,104,3026,87,15,9,6483,2,3,0,1,2,1,1
107,"restaurant","CT",6830,68,2304,87,15,10,7174,3,2,0,1,3,1,1
108,"restaurant","NJ",8106,81,3771,87,19,10,7231,0,4,1,1,4,0,1
109,"restaurant","NY",14622,146,2222,87,19,8,5616,0,3,1,1,2,1,1
110,"restaurant","PA",17111,171,2313,87,29,6,4339,0,3,0,3,0,0,0
111,"bar","MD",20653,206,2935,87,31,8,5822,1,0,3,4,0,0,0
112,"bar","NJ",7083,70,2435,87,31,9,6501,0,2,1,3,2,1,0
113,"restaurant","NJ",8069,80,2788,87,33,7,5058,0,2,1,3,1,0,0
114,"bar","NY",11746,117,3940,87,25,7,5029,0,1,2,4,0,0,0
115,"bar","NY",10710,107,3853,87,29,10,7269,0,3,3,0,2,2,0
116,"bar","NJ",8080,80,3209,87,25,9,6400,1,2,3,1,1,1,0
117,"bar","NY",11510,115,2383,87,31,8,5812,1,1,1,4,1,0,0
118,"bar","NY",11772,117,4061,87,31,9,6443,2,0,1,2,3,1,0
119,"restaurant","PA",19064,190,2865,87,31,6,4303,1,1,0,2,1,1,0
120,"bar","NJ",7960,79,2318,87,33,8,5773,0,1,2,3,0,2,0
121,"bar","NJ",7054,70,2823,87,27,11,7830,1,1,2,4,1,2,0
122,"bar","NJ",8701,87,3147,87,29,9,6631,1,2,3,2,1,0,0
123,"bar","PA",19095,190,3467,87,27,8,5826,0,1,1,3,1,2,0
124,"restaurant","NJ",7036,70,3218,87,33,10,7073,1,1,0,3,4,1,0
125,"bar","MA",1757,17,2133,87,35,6,4368,1,2,0,1,2,0,0
126,"bar","NJ",8240,82,2060,87,33,9,6346,1,3,2,1,2,0,0
127,"restaurant","MA",2067,20,2951,87,29,8,5696,3,2,0,2,0,1,0
128,"restaurant","NY",13440,134,2378,87,29,6,4357,0,0,0,3,3,0,0
129,"restaurant","PA",15724,157,3685,87,31,7,4984,0,2,1,3,0,1,0
130,"restaurant","NY",11364,113,3925,87,31,7,5034,2,1,0,2,2,0,0
131,"bar","NY",11561,115,2855,87,27,10,7192,1,3,0,3,1,2,0
132,"restaurant","NJ",8501,85,2669,87,33,8,5795,3,2,1,1,0,1,0
133,"restaurant","MD",20736,207,3472,87,23,11,7887,2,4,1,3,0,1,0
134,"bar","NY",13790,137,3144,87,31,7,5064,3,2,2,0,0,0,0
135,"bar","CT",6851,68,2196,87,21,11,7905,2,4,3,2,0,0,0
136,"bar","NY",10021,100,2757,87,27,8,5750,1,3,2,2,0,0,0
137,"bar","PA",18940,189,4454,87,25,5,3706,0,1,2,0,2,0,0
138,"bar","CT",6410,64,2414,87,21,9,6376,0,4,2,2,0,1,0
139,"bar","CT",6422,64,2661,87,27,11,7679,2,0,1,4,1,3,0
140,"restaurant","MA",2360,23,2669,87,27,7,5096,1,1,0,4,1,0,0
141,"restaurant","NY",14150,141,3984,87,15,8,5770,2,2,1,3,0,0,0
142,"bar","NY",11354,113,3219,87,27,10,7408,3,1,1,2,0,3,0
143,"bar","PA",19055,190,2456,87,25,10,7298,0,2,2,4,1,1,0
144,"bar","NJ",8012,80,3626,87,31,9,6414,1,3,2,2,0,1,0
145,"restaurant","NY",10011,100,3921,87,33,9,6441,1,2,1,3,1,1,0
146,"restaurant","PA",19085,190,2556,85,21,9,6524,1,1,4,0,3,0,1
147,"bar","PA",19078,190,3197,85,27,10,7255,0,6,4,0,0,0,1
148,"restaurant","NJ",8757,87,2738,85,17,10,7212,1,4,2,1,2,0,1
149,"restaurant","MD",20748,207,3768,85,15,12,8586,1,3,2,3,1,2,1
150,"restaurant","NY",11435,114,2959,85,15,10,7202,0,4,2,0,2,2,1
151,"restaurant","NJ",7701,77,2910,85,31,7,5008,0,0,0,3,0,4,0
152,"bar","NJ",7060,70,2991,85,27,9,6492,0,1,2,4,1,1,0
153,"restaurant","NY",10954,109,3339,85,25,10,7234,1,0,1,3,3,2,0
154,"bar","NY",11710,117,2496,85,15,10,7177,1,0,4,4,0,1,0
155,"bar","NJ",7640,76,3125,85,23,8,5702,0,2,3,1,0,2,0
156,"bar","NJ",7305,73,3164,85,27,8,5750,1,2,2,3,0,0,0
157,"restaurant","NY",11209,112,3345,85,25,8,5824,1,2,1,3,0,1,0
158,"restaurant","MD",21206,212,4379,85,27,11,7923,2,2,1,2,1,3,0
159,"bar","NJ",8759,87,2520,85,13,7,4872,0,1,3,1,1,1,0
160,"bar","MA",2571,25,3237,85,15,9,6614,2,3,2,0,1,1,0
161,"bar","MA",2154,21,4361,85,23,9,6313,1,0,1,4,2,1,0
162,"restaurant","NJ",7305,73,3114,85,23,10,7228,1,2,1,4,1,1,0
163,"restaurant","NJ",7758,77,3443,85,35,8,5805,1,1,0,2,2,2,0
164,"bar","MD",21234,212,3171,85,33,9,6531,0,1,3,2,2,1,0
165,"bar","NY",11590,115,3352,85,21,9,6558,1,3,2,2,1,0,0
166,"restaurant","NY",12309,123,4182,85,15,10,7285,1,2,1,4,0,2,0
167,"restaurant","NY",11367,113,2420,85,25,10,7139,2,0,1,2,1,4,0
168,"bar","NY",11743,117,3430,85,31,10,7207,1,1,2,4,2,0,0
169,"restaurant","PA",19454,194,3310,85,31,8,5826,2,2,1,0,1,2,0
170,"restaurant","NY",11214,112,4128,85,27,9,6462,0,3,0,5,0,1,0
171,"restaurant","NY",11795,117,3418,85,21,10,7124,0,1,0,7,2,0,0
172,"bar","NY",11501,115,2885,85,33,9,6553,0,1,2,4,2,0,0
173,"bar","NY",10547,105,3254,85,31,8,5882,0,2,2,4,0,0,0
174,"restaurant","NH",3235,32,1729,85,33,7,5021,1,1,1,3,0,1,0
175,"bar","NJ",8882,88,3271,85,23,11,8065,0,1,3,2,3,2,0
176,"restaurant","PA",19604,196,3687,85,15,8,5508,0,1,1,6,0,0,0
177,"bar","NY",11364,113,3418,85,27,11,7974,4,2,1,3,1,0,0
178,"restaurant","NY",14227,142,2874,85,13,8,5886,0,3,1,1,2,1,0
179,"bar","NJ",7712,77,3262,85,23,10,7360,3,2,2,1,0,2,0
180,"bar","CT",6850,68,3466,85,15,11,7989,0,3,2,4,1,1,0
181,"restaurant","MD",20748,207,1942,85,21,8,5663,1,1,1,4,1,0,0
182,"bar","MA",1463,14,3062,85,31,8,5705,1,3,0,1,2,1,0
183,"bar","NY",14224,142,2739,85,25,8,5773,1,1,2,2,1,1,0
184,"bar","VI",831,8,3220,85,27,10,7231,3,0,2,3,1,1,0
185,"bar","NY",10001,100,3217,85,35,8,5713,1,2,2,1,1,1,0
186,"bar","MA",2131,21,2747,85,33,5,3519,0,2,2,1,0,0,0
187,"restaurant","PA",15644,156,3736,85,31,7,5047,1,1,0,2,0,3,0
188,"bar","NY",10023,100,2441,85,21,9,6466,1,1,2,3,1,1,0
189,"bar","MA",1440,14,2250,85,15,8,5706,1,1,2,3,1,0,0
190,"restaurant","NJ",7502,75,3075,85,15,12,8513,2,0,1,3,3,3,0
191,"bar","MA",1923,19,3613,85,27,9,6481,1,2,3,0,2,1,0
192,"bar","RI",2879,28,1943,83,13,9,6485,0,1,3,2,3,0,1
193,"restaurant","PA",18954,189,2632,83,13,10,7333,3,2,0,3,2,0,1
194,"restaurant","NH",3801,38,1814,83,23,8,5820,0,2,1,2,2,1,1
195,"restaurant","NJ",8733,87,3273,83,13,10,7377,2,2,0,3,0,3,0
196,"restaurant","ME",4421,44,2523,83,27,9,6331,1,2,1,4,1,0,0
197,"restaurant","NY",11213,112,2585,83,33,7,5146,1,2,0,3,0,1,0
198,"bar","MD",21133,211,3649,83,29,10,7186,1,2,1,5,0,1,0
199,"bar","PA",19335,193,3032,83,23,7,5038,0,0,2,1,3,1,0
200,"bar","PA",19127,191,2606,83,27,6,4269,1,1,1,1,0,2,0
201,"bar","NJ",8009,80,2769,83,33,9,6426,1,1,3,3,1,0,0
202,"bar","PA",15235,152,2407,83,19,7,4992,1,3,0,2,0,1,0
203,"bar","NJ",7090,70,2349,83,15,12,8633,0,3,3,2,1,3,0
204,"restaurant","PA",19530,195,2983,83,33,8,5816,1,1,1,3,1,1,0
205,"bar","NY",11576,115,2635,83,19,9,6448,1,2,3,2,0,1,0
206,"bar","NY",12778,127,3701,83,31,7,5156,0,1,2,1,1,2,0
207,"restaurant","NY",11434,114,2305,83,27,9,6518,1,3,0,2,2,1,0
208,"bar","NY",11230,112,4147,83,15,6,4285,0,2,2,2,0,0,0
209,"restaurant","NJ",8062,80,3888,83,25,8,5830,3,1,0,4,0,0,0
210,"restaurant","NY",10306,103,3510,83,13,9,6550,5,1,1,1,0,1,0
211,"bar","NJ",7740,77,2655,83,15,7,5137,0,2,2,2,1,0,0
212,"bar","MD",21133,211,3730,83,29,8,5640,0,0,2,2,3,1,0
213,"restaurant","MA",2645,26,2948,83,29,7,5047,4,0,1,2,0,0,0
214,"bar","NJ",8721,87,3871,83,35,9,6477,1,2,3,1,2,0,0
215,"restaurant","PA",17754,177,2804,83,15,5,3543,2,2,0,1,0,0,0
216,"bar","DE",19808,198,3532,83,31,8,5700,1,3,3,0,0,1,0
217,"bar","MA",2194,21,3411,83,29,9,6503,0,1,2,3,3,0,0
218,"bar","NY",11434,114,3009,83,23,8,5740,2,2,0,3,1,0,0
219,"bar","NY",11545,115,2599,83,19,8,5670,0,1,1,4,0,2,0
220,"restaurant","PA",15102,151,4044,83,31,8,5662,2,2,1,1,1,1,0
221,"bar","NJ",7604,76,4360,83,15,9,6477,0,2,2,4,1,0,0
222,"bar","NJ",7470,74,3143,83,21,10,7158,3,2,3,1,1,0,0
223,"bar","NY",14094,140,2955,83,11,8,5738,2,1,3,1,0,1,0
224,"bar","NY",14127,141,2772,83,19,8,5600,0,1,2,3,2,0,0
225,"restaurant","MA",2174,21,3541,83,13,9,6543,3,1,1,1,1,2,0
226,"bar","NJ",7047,70,4282,83,13,10,7263,0,1,3,4,0,2,0
227,"bar","NJ",7305,73,3551,83,11,11,7691,1,0,2,5,2,1,0
228,"restaurant","NY",12130,121,2783,83,15,9,6422,1,4,1,1,1,1,0
229,"bar","NY",14610,146,3372,83,21,10,7170,3,2,2,2,1,0,0
230,"bar","PA",18017,180,2955,83,13,9,6419,0,2,2,4,1,0,0
231,"restaurant","NY",11357,113,2913,83,25,9,6577,2,0,0,6,0,1,0
232,"bar","PA",19106,191,3363,83,15,10,7194,1,4,1,3,0,1,0
233,"bar","PA",19086,190,2099,83,27,9,6387,4,0,0,4,0,1,0
234,"bar","NY",10566,105,3295,83,13,10,7147,2,1,3,1,0,3,0
235,"restaurant","NY",11374,113,3169,83,25,10,7078,3,2,1,3,1,0,0
236,"bar","DE",19930,199,4420,83,13,8,5799,1,1,1,3,1,1,0
237,"bar","MA",1913,19,2756,83,29,9,6529,2,1,4,1,1,0,0
238,"restaurant","PA",19008,190,3714,83,33,9,6492,0,5,1,1,2,0,0
239,"bar","MA",1536,15,4238,83,35,9,6363,1,1,1,5,1,0,0
240,"bar","NJ",7712,77,2966,83,31,9,6429,2,1,2,3,1,0,0
241,"bar","NY",11203,112,2881,83,33,8,5703,2,1,1,0,3,1,0
242,"restaurant","NY",11803,118,3026,83,25,9,6448,2,4,1,2,0,0,0
243,"restaurant","NY",13669,136,3219,83,23,10,7283,2,3,1,3,0,1,0
244,"bar","MA",2745,27,2295,83,21,6,4291,0,1,3,0,0,2,0
245,"restaurant","MA",2173,21,2623,83,29,7,5070,2,1,1,2,0,1,0
246,"restaurant","MA",2726,27,3743,83,13,10,7166,1,0,0,3,5,1,0
247,"restaurant","PA",15697,156,2943,83,15,8,5827,0,1,1,4,1,1,0
248,"bar","NJ",7730,77,3109,83,27,6,4322,0,1,2,1,1,1,0
249,"bar","NY",10021,100,3853,83,11,9,6478,1,2,1,2,2,1,0
250,"restaurant","PA",19002,190,2890,83,31,8,5776,1,2,1,3,0,1,0
251,"bar","MA",1983,19,3568,83,25,8,5858,2,2,2,1,1,0,0
252,"bar","NY",11375,113,3753,83,27,7,5045,0,2,1,2,2,0,0
253,"restaurant","MD",21093,210,2638,83,31,6,4254,0,1,1,3,0,1,0
254,"bar","NJ",7962,79,3222,83,15,9,6461,1,2,2,2,2,0,0
255,"restaurant","NJ",7006,70,2744,81,27,9,6477,1,2,3,1,2,0,1
256,"restaurant","NY",11420,114,4139,81,17,7,4855,1,0,1,3,1,1,1
257,"restaurant","DE",19703,197,3272,81,21,10,7209,0,5,0,5,0,0,1
258,"restaurant","MD",20878,208,2731,81,11,8,5763,0,3,1,1,2,1,1
259,"bar","NH",3102,31,4114,81,11,10,7344,1,2,2,1,2,2,1
260,"bar","MA",1803,18,3177,81,11,11,7894,1,1,2,3,3,1,1
261,"restaurant","NJ",7444,74,2791,81,11,6,4326,1,1,0,2,2,0,1
262,"bar","NY",10462,104,3734,81,11,9,6558,2,0,3,1,1,2,0
263,"bar","MA",1201,12,4366,81,35,11,7929,1,0,2,4,4,0,0
264,"bar","NY",10541,105,2723,81,21,7,5032,2,0,0,3,1,1,0
265,"bar","NY",11950,119,3166,81,29,9,6385,0,1,1,1,5,1,0
266,"bar","NY",10950,109,3315,81,11,6,4256,1,1,2,1,1,0,0
267,"bar","NY",11746,117,3143,81,29,7,5053,0,0,1,2,2,2,0
268,"restaurant","PA",18326,183,2689,81,35,6,4306,1,3,0,1,0,1,0
269,"restaurant","NY",12603,126,2864,81,13,9,6540,1,3,1,1,0,3,0
270,"restaurant","NY",14504,145,2868,81,33,7,4911,0,2,1,2,0,2,0
271,"restaurant","MA",2631,26,3261,81,27,9,6343,1,1,1,2,3,1,0
272,"restaurant","NY",14843,148,3992,81,25,9,6606,1,2,1,4,1,0,0
273,"restaurant","NJ",8753,87,3856,81,31,6,4332,1,0,1,0,4,0,0
274,"restaurant","NJ",8736,87,3322,81,29,7,4859,1,1,2,1,1,1,0
275,"restaurant","NJ",7002,70,2955,81,15,8,5768,1,2,1,1,2,1,0
276,"restaurant","CT",6470,64,3397,81,33,8,5820,1,4,0,2,0,1,0
277,"restaurant","MD",20904,209,3276,81,31,6,4336,1,2,0,1,1,1,0
278,"restaurant","NJ",8028,80,3118,81,13,11,8055,0,2,1,2,4,2,0
279,"bar","NJ",8071,80,2835,81,21,8,5677,1,2,0,1,3,1,0
280,"bar","NJ",7405,74,3455,81,13,11,7854,1,2,6,1,1,0,0
281,"bar","MA",1960,19,3762,81,15,11,7937,2,1,1,6,1,0,0
282,"restaurant","MD",21035,210,3175,81,13,8,5761,1,1,0,3,1,2,0
283,"bar","NY",11754,117,3818,81,11,9,6569,0,1,1,4,2,1,0
284,"restaurant","NY",11706,117,2625,81,13,8,5778,0,2,1,4,1,0,0
285,"bar","PA",18969,189,2625,81,27,10,7196,1,0,4,2,2,1,0
286,"restaurant","PA",15146,151,3419,81,27,10,7206,1,0,1,5,1,2,0
287,"restaurant","NJ",7712,77,3644,81,17,7,4938,2,2,0,2,1,0,0
288,"restaurant","NY",11230,112,2874,81,35,4,2841,1,1,0,1,0,1,0
289,"bar","ME",4210,42,2219,81,25,6,4401,1,1,0,0,1,3,0
290,"restaurant","MD",20772,207,2185,81,35,7,5006,1,1,1,0,3,1,0
291,"restaurant","NY",11520,115,2274,81,13,8,5690,1,0,1,2,3,1,0
292,"bar","NY",11360,113,2838,81,25,9,6337,1,1,2,2,2,1,0
293,"restaurant","DC",20003,200,2492,81,31,8,5880,0,2,0,5,1,0,0
294,"restaurant","NY",11235,112,2307,81,25,7,5103,1,0,1,3,0,2,0
295,"bar","NY",14526,145,2552,81,35,9,6553,1,1,3,2,1,1,0
296,"bar","MD",20704,207,3385,81,15,8,5828,0,0,3,3,1,1,0
297,"restaurant","NJ",8502,85,2230,81,31,8,5891,2,0,1,0,2,3,0
298,"restaurant","NY",11710,117,3996,81,9,9,6463,1,1,1,3,1,2,0
299,"restaurant","NJ",7607,76,3300,81,33,8,5851,1,0,1,3,2,1,0
300,"restaurant","NJ",7013,70,2844,81,15,10,7036,0,4,1,3,1,1,0
301,"bar","NJ",7747,77,2806,81,13,9,6419,1,1,1,2,2,2,0
302,"bar","NY",14701,147,2503,81,35,4,2839,3,0,1,0,0,0,0
303,"restaurant","MD",21093,210,3968,81,31,9,6439,2,1,0,5,0,1,0
304,"bar","NY",10021,100,3396,81,29,6,4467,2,0,2,1,1,0,0
305,"bar","NJ",8861,88,3302,81,21,8,5850,0,2,4,1,0,1,0
306,"bar","PA",15146,151,3218,81,33,9,6557,1,4,2,1,0,1,0
307,"bar","MA",1520,15,4549,81,15,9,6410,0,2,3,3,0,1,0
308,"bar","NY",10473,104,2746,81,31,7,4998,0,3,1,2,0,1,0
309,"bar","PA",15367,153,2563,81,11,11,7764,1,1,3,5,1,0,0
310,"bar","NY",10710,107,3543,81,17,8,5931,1,2,2,1,1,1,0
311,"restaurant","NJ",7901,79,3657,81,9,9,6641,2,4,1,1,1,0,0
312,"bar","PA",19015,190,3493,81,13,11,7951,2,2,3,0,2,2,0
313,"bar","NY",14006,140,3809,81,15,9,6534,1,1,3,3,0,1,0
314,"restaurant","MA",1109,11,3256,81,25,11,8016,2,1,1,3,1,3,0
315,"bar","NJ",8869,88,2649,81,13,8,5821,0,1,1,4,1,1,0
316,"bar","PA",18447,184,3874,81,15,11,7816,4,1,3,1,1,1,0
317,"bar","NY",11510,115,2368,81,17,5,3576,0,0,2,1,0,2,0
318,"bar","NJ",8822,88,2679,81,15,8,5817,0,3,0,3,2,0,0
319,"bar","NY",10003,100,2742,81,29,7,5047,0,3,1,2,0,1,0
320,"restaurant","NJ",8034,80,3336,81,25,7,4975,0,3,0,4,0,0,0
321,"restaurant","PA",19008,190,3104,81,33,5,3599,1,0,1,1,1,1,0
322,"restaurant","NJ",8831,88,3181,81,13,11,8062,0,0,1,4,3,3,0
323,"restaurant","NY",11360,113,2213,81,21,8,5799,3,0,0,1,0,4,0
324,"bar","MA",2184,21,2554,81,33,9,6587,1,2,1,4,0,1,0
325,"restaurant","NJ",8022,80,3339,81,29,9,6445,0,1,1,2,2,3,0
326,"bar","NJ",7016,70,3409,79,15,11,8017,0,5,2,2,0,2,1
327,"restaurant","NJ",7675,76,3610,79,15,10,6910,1,1,0,3,2,3,1
328,"restaurant","NY",13901,139,4015,79,9,11,7733,1,2,2,3,0,3,1
329,"restaurant","PA",18328,183,3069,79,27,9,6466,1,3,1,1,2,1,1
330,"restaurant","NH",3449,34,3723,79,29,7,5122,0,0,1,3,2,1,1
331,"restaurant","NY",10028,100,3090,79,13,7,5058,0,5,0,0,1,1,1
332,"restaurant","NY",11354,113,3070,79,23,9,6433,0,3,1,2,2,1,1
333,"restaurant","NY",10541,105,2033,79,15,9,6355,2,1,1,2,3,0,0
334,"restaurant","MA",1585,15,3385,79,15,10,7199,3,0,0,4,2,1,0
335,"bar","PA",18914,189,3086,79,23,8,5925,1,3,0,1,1,2,0
336,"bar","NJ",8034,80,4640,79,33,9,6550,1,1,2,4,1,0,0
